Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
3,WAGER,32,0,0,0,0,0,1,1,4018,16,1,2,4,1004,16,1,3,0,977,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4018,16,1,2,4,1004,16,1,3,11,977,32,1,4,0,0,0,0,5,0,0,0,0
2,FOLD,0,0,0,0,0,0,1,1,4018,32,1,2,0,1004,16,1,3,11,977,32,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,9,3986,16,1,2,0,988,16,1,3,8,1025,16,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,9,3986,16,1,2,1,988,16,1,3,0,1025,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3986,16,1,2,1,988,16,1,3,8,1025,16,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,1,4018,16,1,2,7,972,16,1,3,0,1009,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4018,16,1,2,7,972,16,1,3,11,1009,16,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,1,4018,16,1,2,0,972,16,1,3,11,1009,16,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,32,1,2,6,956,32,1,3,2,1041,32,1,4,0,0,0,0,5,0,0,0,0
2,WAGER,64,0,0,0,0,0,1,5,4002,32,1,2,0,956,32,1,3,2,1041,32,1,4,0,0,0,0,5,0,0,0,0
3,FOLD,0,0,0,0,0,0,1,5,4002,32,1,2,6,956,64,1,3,0,1041,32,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,32,1,2,6,956,64,1,3,0,1041,32,0,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,7,3938,32,1,2,0,1052,32,1,3,10,1009,32,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,7,3938,32,1,2,13,1052,32,1,3,0,1009,32,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3938,32,1,2,13,1052,32,1,3,10,1009,32,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,12,3906,32,1,2,5,1116,32,1,3,0,977,32,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3906,32,1,2,5,1116,32,1,3,6,977,32,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,12,3906,32,1,2,0,1116,32,1,3,6,977,32,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3970,32,1,2,12,1084,32,1,3,11,945,32,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,13,3970,32,1,2,0,1084,32,1,3,11,945,32,1,4,0,0,0,0,5,0,0,0,0
